app_name,version_name,file_sha256,file_md5,url
乐游连线,1.0.2,fedf66e0a1caf6d21ae498a919fb5a579071fbd9807fa33a611fd23299f45430,044d8737b3610e069e1939ddbbe5c850,http://storedl1.nearme.com.cn/apk/202012/26/ccaff07f2e98dbc61ccdf390cb560235.apk
迷你神枪手,1.0.1,8d87dac2392e64277478ffcfcabb763e75b6e9a238f999df63585bba89bf81f5,83c9a5090f422b139ba1a7d92f773f0c,http://storedl1.nearme.com.cn/apk/202009/09/96d18662ea7053fa5ce7359753e23402.apk
同学来找茬,1.0.0,282283df340bff47736df15db59dfc07be627a52b8c334ea9985296f59e42334,29537ed58e25cce7cc3533a7eeec4b82,http://storedl1.nearme.com.cn/apk/202101/20/e9f5ecbd9ca6a3a292b2e5f4c14216f7.apk
乐游连连看,1.0.1,91837bcb189cf38d4ac4d08a0123ac4f5195e4377fb428a54e9ecd1c803c140f,e77c6a122805932ca0f73d0806d1f562,http://storedl1.nearme.com.cn/apk/202101/12/ad6a56799bed58f34dc8142d637532c0.apk
我的飞刀玩的贼帅,1.0.1,a4bd946e05791da00da92b0f995a5a605f7de40d967ed5baaec69e6bd60c0af6,cff3917df4693b96c12519448a9e6bc4,http://storedl1.nearme.com.cn/apk/202101/20/6ec6de513d3c45596a4e025b0a943685.apk
节奏的球球大师,1.0.0,906d85e5ad2984411a81a72b51a4155263985e52ede0f6405a44ba49c01b0368,eefd276053b9a89655ba632692370599,http://storedl1.nearme.com.cn/apk/202009/09/9aec05fa331cfa79a004af2761c89afa.apk
艺术清洁,1.0.0,d46fd7269d12ea42ee0af41338085b63d5f13663d2398abde0d90db190c7cd54,924cd87936617a8a0f878fec7ce456de,http://storedl1.nearme.com.cn/apk/202009/02/4dd4df9e3e7c42a641c7ac1e04866a59.apk
波浪球球,1.0.0,8ce6987d4e204f729ec945b62596ca2d397899dbce723ca8f38dba8178e6ed0d,37796e6fd191c5e4eb6b8300a8f40404,http://storedl1.nearme.com.cn/apk/202009/26/71ee9457fa3264be80c7fa77eadab6da.apk
最强开锁大师,1.0.0,5eab6e32f45419e294a0f14fff5a8cae41cecd0c2766274cb633a2b44fc0ca43,bf60a706d306c94b0f1ff8a896cf12bc,http://storedl1.nearme.com.cn/apk/202012/08/d5d99b3ad4559fac28c81d9c6890cb52.apk
跳舞的弹珠,1.0.2,a8fa4a5d800f922f5fda06e781d7831871683c564f662b7e8e587dc08211d72f,faf0473037e031550e02cc21eb87ab1f,http://storedl1.nearme.com.cn/apk/202012/26/c9a76601d7e74a1d5eefec5a8087485e.apk
乐游猜成语,1.0.0,b94617e2c9b1b1778796767670ba2f15a399cba7b217176c6dc22d99a2bcf274,cd66ca910dba6f8a32067380792dedb4,http://storedl1.nearme.com.cn/apk/202101/07/270e3fe5dbb5a9da66c3c124bc450efc.apk
乐游方块消除,1.0.1,2ba1e6e735510a923bcf1dba1f33776d650735ebc103dd271cd224ceb7161954,6a4b82264ed3459b25e586b989c47828,http://storedl1.nearme.com.cn/apk/202012/30/ef14e8366918929eee6d3276310155ce.apk
童话小公主时尚换装达人,1.0.0,42c3cacb7821c6828f123964957692e99bfbe39e13b8029b548a4237668a5ac8,05a6dda6d8166b003c740defebef3852,http://storedl1.nearme.com.cn/apk/202101/19/c4121a5316f61f6b53c89a9f439d5c55.apk
像素填色达人,1.0.0,221244b64b9c0cf7fa438b27e43aae807badfff264677d2746f8082745a9b82f,05943ec90916ee21c5eca00055c30fc4,http://storedl1.nearme.com.cn/apk/202101/20/e3a1f191288cc4edf6245ed4dd9dbe12.apk
流浪气球,1.0.0,e6308e8652c50b80304f61274ad2057717e11b836b5cc42ae4564e4fd9746f4e,89a16d8201ca7930781718c5ddab421f,http://storedl1.nearme.com.cn/apk/202009/04/fcdac30c4ff4b5dfafd4e311edfa57a0.apk
乐游泡泡龙,1.0.1,cb5af8e6963550226c2a2372804d53480f9c73d678677b70a0a7c78f669e154c,f639944443e94edcac98ee4f47bea9dc,http://storedl1.nearme.com.cn/apk/202101/19/0299a037ffe7196809c0337edeb998e3.apk
节奏的钢琴白块,1.0.2,19278387faeb01201fa8888647cedb4101f855144a63276a6716f84cf6e65269,a5a6f8d8fcdc6a0764b862d8a323797d,http://storedl1.nearme.com.cn/apk/202011/24/a40d11d0248541a1e1ce4b563e346c12.apk
